obj_id,t,x,y,z
0,0,13.02678378423055,-0.7728403011957804,31.03584893544515
0,1,12.945459842681885,-0.664878711104393,31.586801211039226
0,2,13.274155298868815,-0.9784284134705862,30.88931687672933
0,3,13.115872701009115,-0.8435748188445965,31.102139790852863
0,4,12.739019711812338,-0.8341611965248982,31.084616978963215
0,5,12.921162287394205,-1.1423132568597794,31.45904604593913
0,6,13.084575335184732,-1.065697893500328,31.407838821411133
0,7,13.241206645965576,-0.7585915910700957,31.254287401835125
0,8,12.903578440348307,-1.3867868249265787,31.48275152842204
0,9,12.519293944040934,-1.1228364209334056,31.545068105061848
0,10,12.69499413172404,-1.2117967655261357,31.618593215942383
0,11,12.61048158009847,-1.03402978181839,31.57492478688558
0,12,13.099230766296387,-0.8323455120747288,31.705632209777832
0,13,12.873791694641113,-0.47446869562069577,31.485333760579426
0,14,13.024430433909098,-1.2154896159966786,31.336806933085125
0,15,12.846028168996176,-1.0660148784518242,31.23604679107666
0,16,12.885870933532715,-0.9018930138554424,31.404154141743977
0,17,12.61995236078898,-1.0225961084167163,31.164781888326008
0,18,12.56032164891561,-0.7256003568569819,31.25722026824951
0,19,12.831604798634848,-1.2778179409603279,31.497783660888672
0,20,12.396104017893473,-0.6008229876557986,31.342116991678875
0,21,12.782425244649252,-0.5348425805568695,31.440600713094074
0,22,13.232513745625814,-0.6764019727706909,31.40861225128174
0,23,12.949376583099365,-1.1357868139942486,31.27055263519287
0,24,12.745988527933756,-0.8221936511496702,31.63391876220703
0,25,12.498947302500406,-0.6687400825321674,31.361172993977863
0,26,13.032243410746256,-0.8167942588527998,31.69836680094401
0,27,12.97849210103353,-0.975879097978274,31.102359771728516
0,28,12.932224909464518,-0.18163524568080902,31.699949900309246
0,29,12.86587397257487,-1.037204422056675,31.084131558736164
0,30,13.20694907506307,-0.5434376305590073,31.582783699035645
0,31,12.516745567321777,-1.3437331051876147,31.146460851033527
0,32,12.358690102895102,-0.8805392887443304,31.86034901936849
0,33,12.696768442789713,-0.6837226450443268,31.587261199951172
0,34,12.596367677052816,-1.0186744680007298,31.38376808166504
0,35,12.949771404266357,-0.707217718164126,31.013765970865887
0,36,12.598024686177572,-0.8776938157776991,31.071773529052734
0,37,12.62259817123413,-0.6011839409669241,31.412851969401043
0,38,13.136767705281576,-0.556296290208896,31.370164553324383
0,39,12.667375882466635,-1.0487297475337982,31.466318766276043
0,40,12.61762539545695,-0.6421912759542465,31.8671875
0,41,12.888312021891275,-1.023509755730629,31.442012151082356
0,42,12.518068472544352,-0.744915117820104,31.897542317708332
0,43,12.697730541229248,-0.6165174149597684,31.476261138916016
0,44,12.587882200876871,-0.34724590089172125,31.499563535054524
0,45,12.751105467478434,-1.0914460172255833,31.549475351969402
0,46,13.183962186177572,-1.3829707386903465,31.929563522338867
0,47,13.05414311091105,-1.0096794068813324,31.64884885152181
0,48,13.039844989776611,-1.12857090930144,31.34847609202067
0,49,12.452420393625895,-1.0488073801000912,31.903828303019207
1,0,4.405489444732666,3.211470663547516,24.102685292561848
1,1,4.4303750197092695,3.119506577650706,24.16691716512044
1,2,4.223218560218811,3.5479957660039267,24.261489232381184
1,3,4.3837270339330034,3.1500110030174255,24.15525531768799
1,4,3.643580436706543,2.8320173422495523,24.400529861450195
1,5,4.19016448656718,3.014376143614451,24.21450360616048
1,6,4.22988482316335,3.070250074068705,24.184309005737305
1,7,4.25722614924113,2.743812143802643,24.241238276163738
1,8,4.152185042699178,2.8157050212224326,24.313878059387207
1,9,4.0949844519297285,2.958589573701223,24.451321283976238
1,10,4.336199243863423,2.8327632943789163,24.2535982131958
1,11,4.291697223981221,3.0108593304951987,24.04810619354248
1,12,4.337328672409058,3.1942113439242044,24.38424587249756
1,13,4.008002201716105,2.84925784667333,24.21442635854085
1,14,4.282620191574097,3.043388386567434,24.395976702372234
1,15,4.217684308687846,2.908785065015157,24.42423661549886
1,16,4.5331645011901855,3.1459685564041138,24.177602767944336
1,17,4.133810083071391,3.2002670963605246,24.25534470876058
